Decade And Way,Male 15-24,Male 25-34,Male 35-44,Male 45-54,Male 55+,Female 15-24,Female 25-34,Female 35-44,Female 45-54,Female 55+
1960s Through Family,0.15503875968992248,0.09375,0.0,0.0,0.0,0.08791208791208792,0.07142857142857142,0.0,0.0,0.0
1960s Through Friends,0.1937984496124031,0.15625,0.0,0.0,0.0,0.1978021978021978,0.14285714285714285,0.0,0.0,0.0
1960s As Coworkers,0.06201550387596899,0.15625,0.0,0.0,0.0,0.0989010989010989,0.07142857142857142,0.0,0.0,0.0
1960s At A Bar or Restaurant,0.10077519379844961,0.15625,0.0,0.0,0.0,0.0989010989010989,0.21428571428571427,0.0,0.0,0.0
1960s At A Party,0.06976744186046512,0.03125,0.0,0.0,0.0,0.04945054945054945,0.14285714285714285,0.0,0.0,0.0
1960s In A Customer-Client Relationship,0.05426356589147287,0.125,0.0,0.0,0.0,0.038461538461538464,0.14285714285714285,0.0,0.0,0.0
1960s At School (Non-College),0.06976744186046512,0.0,0.0,0.0,0.0,0.13186813186813187,0.0,0.0,0.0,0.0
1960s In College,0.09302325581395349,0.03125,0.0,0.0,0.0,0.03296703296703297,0.0,0.0,0.0,0.0
1960s At Church,0.023255813953488372,0.03125,0.5,0.0,0.0,0.02197802197802198,0.07142857142857142,0.0,0.0,0.0
1960s Through A Voluntary Organization (i.e. hobbies),0.015503875968992248,0.09375,0.0,0.0,0.0,0.04395604395604396,0.0,0.0,0.0,0.0
1960s As Neighbors,0.023255813953488372,0.0625,0.0,0.0,0.0,0.038461538461538464,0.07142857142857142,0.0,0.0,0.0
1960s On A Blind Date,0.05426356589147287,0.03125,0.0,0.0,0.0,0.054945054945054944,0.0,0.0,0.0,0.0
1960s In A Public Place,0.03875968992248062,0.0,0.0,0.0,0.0,0.02197802197802198,0.0,1.0,0.0,0.0
1960s In The Military,0.023255813953488372,0.0,0.5,0.0,0.0,0.06593406593406594,0.07142857142857142,0.0,0.0,0.0
1960s On Vacation,0.015503875968992248,0.0,0.0,0.0,0.0,0.01098901098901099,0.0,0.0,0.0,0.0
1960s Through A Singles Service (Non-Online),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960s On A Business Trip,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960s Online,0.007751937984496124,0.0,0.0,0.0,0.0,0.005494505494505495,0.0,0.0,0.0,0.0
1960s As Work Neighbors,0.0,0.03125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970s Through Family,0.09545454545454546,0.09803921568627451,0.0,0.0,0.0,0.1388888888888889,0.13636363636363635,0.09090909090909091,0.0,0.0
1970s Through Friends,0.20454545454545456,0.2549019607843137,0.17647058823529413,0.0,0.0,0.23412698412698413,0.20454545454545456,0.09090909090909091,0.0,0.0
1970s As Coworkers,0.09090909090909091,0.1568627450980392,0.11764705882352941,0.0,0.0,0.10317460317460317,0.18181818181818182,0.09090909090909091,0.0,0.0
1970s At A Bar or Restaurant,0.12272727272727273,0.17647058823529413,0.17647058823529413,0.0,0.0,0.09126984126984126,0.11363636363636363,0.09090909090909091,0.0,0.0
1970s At A Party,0.08181818181818182,0.0392156862745098,0.23529411764705882,0.0,0.0,0.06746031746031746,0.022727272727272728,0.09090909090909091,0.0,0.0
1970s In A Customer-Client Relationship,0.02727272727272727,0.0784313725490196,0.058823529411764705,0.0,0.0,0.01984126984126984,0.022727272727272728,0.18181818181818182,1.0,0.0
1970s At School (Non-College),0.08636363636363636,0.0196078431372549,0.058823529411764705,0.0,0.0,0.07539682539682539,0.0,0.0,0.0,0.0
1970s In College,0.08181818181818182,0.058823529411764705,0.0,0.0,0.0,0.08333333333333333,0.09090909090909091,0.0,0.0,0.0
1970s At Church,0.05454545454545454,0.0,0.058823529411764705,0.0,0.0,0.03968253968253968,0.022727272727272728,0.0,0.0,0.0
1970s Through A Voluntary Organization (i.e. hobbies),0.04090909090909091,0.0392156862745098,0.0,0.0,0.0,0.023809523809523808,0.0,0.09090909090909091,0.0,0.0
1970s As Neighbors,0.031818181818181815,0.0196078431372549,0.058823529411764705,0.0,0.0,0.027777777777777776,0.06818181818181818,0.0,0.0,0.0
1970s On A Blind Date,0.02727272727272727,0.0196078431372549,0.0,0.0,0.0,0.03968253968253968,0.045454545454545456,0.18181818181818182,0.0,0.0
1970s In A Public Place,0.031818181818181815,0.0,0.0,1.0,0.0,0.011904761904761904,0.045454545454545456,0.0,0.0,0.0
1970s In The Military,0.013636363636363636,0.0196078431372549,0.058823529411764705,0.0,0.0,0.027777777777777776,0.022727272727272728,0.0,0.0,0.0
1970s On Vacation,0.004545454545454545,0.0196078431372549,0.0,0.0,0.0,0.007936507936507936,0.022727272727272728,0.0,0.0,0.0
1970s Through A Singles Service (Non-Online),0.004545454545454545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970s On A Business Trip,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970s Online,0.0,0.0,0.0,0.0,0.0,0.003968253968253968,0.0,0.0,0.0,0.0
1970s As Work Neighbors,0.0,0.0,0.0,0.0,0.0,0.003968253968253968,0.0,0.09090909090909091,0.0,0.0
1980s Through Family,0.09523809523809523,0.1276595744680851,0.06060606060606061,0.07692307692307693,0.0,0.09883720930232558,0.08196721311475409,0.075,0.0,0.0
1980s Through Friends,0.21428571428571427,0.14893617021276595,0.18181818181818182,0.15384615384615385,0.0,0.16279069767441862,0.1721311475409836,0.175,0.2222222222222222,0.0
1980s As Coworkers,0.10714285714285714,0.18439716312056736,0.15151515151515152,0.15384615384615385,0.0,0.1511627906976744,0.23770491803278687,0.25,0.0,0.0
1980s At A Bar or Restaurant,0.10714285714285714,0.16312056737588654,0.18181818181818182,0.15384615384615385,0.0,0.13372093023255813,0.13934426229508196,0.175,0.2222222222222222,0.0
1980s At A Party,0.08333333333333333,0.06382978723404255,0.06060606060606061,0.07692307692307693,0.0,0.03488372093023256,0.07377049180327869,0.05,0.1111111111111111,0.0
1980s In A Customer-Client Relationship,0.03571428571428571,0.05673758865248227,0.030303030303030304,0.15384615384615385,0.0,0.06395348837209303,0.05737704918032787,0.1,0.1111111111111111,0.0
1980s At School (Non-College),0.05357142857142857,0.0,0.0,0.07692307692307693,0.0,0.08139534883720931,0.00819672131147541,0.0,0.0,0.0
1980s In College,0.1130952380952381,0.028368794326241134,0.0,0.07692307692307693,0.0,0.06395348837209303,0.01639344262295082,0.0,0.0,0.0
1980s At Church,0.02976190476190476,0.0425531914893617,0.030303030303030304,0.0,0.0,0.046511627906976744,0.03278688524590164,0.05,0.0,0.0
1980s Through A Voluntary Organization (i.e. hobbies),0.041666666666666664,0.02127659574468085,0.06060606060606061,0.0,0.0,0.03488372093023256,0.040983606557377046,0.05,0.1111111111111111,0.0
1980s As Neighbors,0.041666666666666664,0.014184397163120567,0.09090909090909091,0.0,0.0,0.05813953488372093,0.03278688524590164,0.0,0.0,0.0
1980s On A Blind Date,0.023809523809523808,0.028368794326241134,0.06060606060606061,0.07692307692307693,0.0,0.023255813953488372,0.02459016393442623,0.025,0.0,0.0
1980s In A Public Place,0.017857142857142856,0.03546099290780142,0.030303030303030304,0.0,0.0,0.029069767441860465,0.01639344262295082,0.0,0.0,0.0
1980s In The Military,0.0,0.02127659574468085,0.0,0.0,0.0,0.005813953488372093,0.03278688524590164,0.0,0.0,0.0
1980s On Vacation,0.005952380952380952,0.03546099290780142,0.030303030303030304,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0
1980s Through A Singles Service (Non-Online),0.005952380952380952,0.0070921985815602835,0.0,0.0,0.0,0.0,0.0,0.025,0.1111111111111111,0.0
1980s On A Business Trip,0.0,0.0,0.030303030303030304,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980s Online,0.0,0.0070921985815602835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980s As Work Neighbors,0.023809523809523808,0.014184397163120567,0.0,0.0,0.0,0.011627906976744186,0.03278688524590164,0.025,0.0,0.0
1990s Through Family,0.09580838323353294,0.061068702290076333,0.07142857142857142,0.10526315789473684,0.0,0.1092896174863388,0.10588235294117647,0.05333333333333334,0.17857142857142858,0.0
1990s Through Friends,0.17964071856287425,0.183206106870229,0.10714285714285714,0.05263157894736842,0.0,0.22404371584699453,0.16470588235294117,0.18666666666666668,0.03571428571428571,0.5
1990s As Coworkers,0.1497005988023952,0.16030534351145037,0.23214285714285715,0.15789473684210525,0.125,0.09836065573770492,0.21176470588235294,0.17333333333333334,0.21428571428571427,0.5
1990s At A Bar or Restaurant,0.10778443113772455,0.20610687022900764,0.17857142857142858,0.3684210526315789,0.25,0.10382513661202186,0.09411764705882353,0.16,0.07142857142857142,0.0
1990s At A Party,0.041916167664670656,0.04580152671755725,0.07142857142857142,0.0,0.0,0.07103825136612021,0.09411764705882353,0.09333333333333334,0.03571428571428571,0.0
1990s In A Customer-Client Relationship,0.03592814371257485,0.06870229007633588,0.10714285714285714,0.05263157894736842,0.125,0.0273224043715847,0.047058823529411764,0.06666666666666667,0.17857142857142858,0.0
1990s At School (Non-College),0.09580838323353294,0.022900763358778626,0.0,0.0,0.0,0.04918032786885246,0.03529411764705882,0.0,0.0,0.0
1990s In College,0.08383233532934131,0.022900763358778626,0.0,0.0,0.0,0.1092896174863388,0.011764705882352941,0.0,0.0,0.0
1990s At Church,0.023952095808383235,0.05343511450381679,0.0,0.0,0.125,0.03278688524590164,0.047058823529411764,0.02666666666666667,0.14285714285714285,0.0
1990s Through A Voluntary Organization (i.e. hobbies),0.05389221556886228,0.022900763358778626,0.0,0.05263157894736842,0.0,0.03278688524590164,0.023529411764705882,0.02666666666666667,0.0,0.0
1990s As Neighbors,0.03592814371257485,0.022900763358778626,0.017857142857142856,0.0,0.0,0.04918032786885246,0.03529411764705882,0.05333333333333334,0.0,0.0
1990s On A Blind Date,0.011976047904191617,0.04580152671755725,0.017857142857142856,0.0,0.0,0.02185792349726776,0.023529411764705882,0.02666666666666667,0.07142857142857142,0.0
1990s In A Public Place,0.023952095808383235,0.04580152671755725,0.07142857142857142,0.0,0.0,0.00546448087431694,0.058823529411764705,0.013333333333333334,0.0,0.0
1990s In The Military,0.011976047904191617,0.007633587786259542,0.017857142857142856,0.0,0.0,0.03278688524590164,0.011764705882352941,0.013333333333333334,0.0,0.0
1990s On Vacation,0.005988023952095809,0.015267175572519083,0.0,0.0,0.0,0.0,0.0,0.02666666666666667,0.03571428571428571,0.0
1990s Through A Singles Service (Non-Online),0.005988023952095809,0.015267175572519083,0.05357142857142857,0.05263157894736842,0.375,0.01092896174863388,0.011764705882352941,0.02666666666666667,0.03571428571428571,0.0
1990s On A Business Trip,0.0,0.0,0.017857142857142856,0.0,0.0,0.01092896174863388,0.011764705882352941,0.0,0.0,0.0
1990s Online,0.029940119760479042,0.0,0.03571428571428571,0.10526315789473684,0.0,0.00546448087431694,0.011764705882352941,0.02666666666666667,0.0,0.0
1990s As Work Neighbors,0.005988023952095809,0.0,0.0,0.05263157894736842,0.0,0.00546448087431694,0.0,0.02666666666666667,0.0,0.0
2000s Through Family,0.05907172995780591,0.04411764705882353,0.07954545454545454,0.11904761904761904,0.0,0.07432432432432433,0.10810810810810811,0.08695652173913043,0.07692307692307693,0.125
2000s Through Friends,0.19831223628691982,0.11764705882352941,0.1590909090909091,0.09523809523809523,0.15384615384615385,0.23310810810810811,0.23423423423423423,0.15217391304347827,0.10256410256410256,0.20833333333333334
2000s As Coworkers,0.06329113924050633,0.13970588235294118,0.14772727272727273,0.023809523809523808,0.0,0.08783783783783784,0.15315315315315314,0.10869565217391304,0.1794871794871795,0.0
2000s At A Bar or Restaurant,0.0759493670886076,0.15441176470588236,0.20454545454545456,0.14285714285714285,0.23076923076923078,0.0777027027027027,0.15315315315315314,0.20652173913043478,0.15384615384615385,0.20833333333333334
2000s At A Party,0.08860759493670886,0.07352941176470588,0.03409090909090909,0.023809523809523808,0.0,0.0777027027027027,0.05405405405405406,0.021739130434782608,0.07692307692307693,0.125
2000s In A Customer-Client Relationship,0.02531645569620253,0.029411764705882353,0.03409090909090909,0.07142857142857142,0.0,0.037162162162162164,0.05405405405405406,0.03260869565217391,0.1282051282051282,0.0
2000s At School (Non-College),0.10970464135021098,0.007352941176470588,0.011363636363636364,0.023809523809523808,0.0,0.08783783783783784,0.0,0.0,0.0,0.0
2000s In College,0.10548523206751055,0.007352941176470588,0.011363636363636364,0.0,0.0,0.10472972972972973,0.0,0.010869565217391304,0.0,0.0
2000s At Church,0.05485232067510549,0.058823529411764705,0.045454545454545456,0.023809523809523808,0.15384615384615385,0.037162162162162164,0.036036036036036036,0.0,0.0,0.041666666666666664
2000s Through A Voluntary Organization (i.e. hobbies),0.05485232067510549,0.022058823529411766,0.022727272727272728,0.047619047619047616,0.038461538461538464,0.04054054054054054,0.036036036036036036,0.06521739130434782,0.0,0.041666666666666664
2000s As Neighbors,0.05907172995780591,0.022058823529411766,0.011363636363636364,0.07142857142857142,0.0,0.05405405405405406,0.018018018018018018,0.043478260869565216,0.02564102564102564,0.125
2000s On A Blind Date,0.008438818565400843,0.0,0.011363636363636364,0.047619047619047616,0.038461538461538464,0.010135135135135136,0.0,0.021739130434782608,0.02564102564102564,0.0
2000s In A Public Place,0.008438818565400843,0.058823529411764705,0.056818181818181816,0.047619047619047616,0.07692307692307693,0.010135135135135136,0.018018018018018018,0.010869565217391304,0.05128205128205128,0.0
2000s In The Military,0.0,0.007352941176470588,0.0,0.0,0.0,0.0,0.018018018018018018,0.0,0.0,0.0
2000s On Vacation,0.012658227848101266,0.022058823529411766,0.0,0.0,0.0,0.006756756756756757,0.0,0.010869565217391304,0.0,0.0
2000s Through A Singles Service (Non-Online),0.0,0.007352941176470588,0.011363636363636364,0.0,0.038461538461538464,0.0,0.0,0.021739130434782608,0.02564102564102564,0.0
2000s On A Business Trip,0.0,0.007352941176470588,0.0,0.0,0.0,0.0,0.009009009009009009,0.0,0.0,0.0
2000s Online,0.06329113924050633,0.21323529411764705,0.14772727272727273,0.2619047619047619,0.2692307692307692,0.060810810810810814,0.0990990990990991,0.16304347826086957,0.10256410256410256,0.08333333333333333
2000s As Work Neighbors,0.012658227848101266,0.007352941176470588,0.011363636363636364,0.0,0.0,0.0,0.009009009009009009,0.043478260869565216,0.05128205128205128,0.041666666666666664
2010s Through Family,0.04,0.07746478873239436,0.12345679012345678,0.028169014084507043,0.04878048780487805,0.04710144927536232,0.06741573033707865,0.07042253521126761,0.02040816326530612,0.047619047619047616
2010s Through Friends,0.22666666666666666,0.1267605633802817,0.12345679012345678,0.08450704225352113,0.0975609756097561,0.2028985507246377,0.16853932584269662,0.14084507042253522,0.08163265306122448,0.14285714285714285
2010s As Coworkers,0.10666666666666667,0.06338028169014084,0.18518518518518517,0.04225352112676056,0.0,0.09420289855072464,0.07865168539325842,0.028169014084507043,0.08163265306122448,0.023809523809523808
2010s At A Bar or Restaurant,0.11333333333333333,0.19014084507042253,0.24691358024691357,0.23943661971830985,0.17073170731707318,0.09782608695652174,0.16853932584269662,0.18309859154929578,0.20408163265306123,0.19047619047619047
2010s At A Party,0.03333333333333333,0.056338028169014086,0.04938271604938271,0.028169014084507043,0.07317073170731707,0.09057971014492754,0.0898876404494382,0.056338028169014086,0.04081632653061224,0.07142857142857142
2010s In A Customer-Client Relationship,0.013333333333333334,0.007042253521126761,0.037037037037037035,0.056338028169014086,0.07317073170731707,0.014492753623188406,0.03932584269662921,0.07042253521126761,0.12244897959183673,0.09523809523809523
2010s At School (Non-College),0.12666666666666668,0.007042253521126761,0.0,0.014084507042253521,0.0,0.050724637681159424,0.02247191011235955,0.0,0.02040816326530612,0.0
2010s In College,0.08,0.0,0.0,0.0,0.0,0.10869565217391304,0.0,0.0,0.0,0.0
2010s At Church,0.04,0.04225352112676056,0.037037037037037035,0.014084507042253521,0.024390243902439025,0.025362318840579712,0.02247191011235955,0.0,0.0,0.047619047619047616
2010s Through A Voluntary Organization (i.e. hobbies),0.05333333333333334,0.007042253521126761,0.0,0.0,0.024390243902439025,0.050724637681159424,0.033707865168539325,0.028169014084507043,0.02040816326530612,0.023809523809523808
2010s As Neighbors,0.02666666666666667,0.02112676056338028,0.024691358024691357,0.014084507042253521,0.024390243902439025,0.036231884057971016,0.0056179775280898875,0.014084507042253521,0.04081632653061224,0.0
2010s On A Blind Date,0.0,0.007042253521126761,0.0,0.014084507042253521,0.0,0.0,0.0056179775280898875,0.028169014084507043,0.02040816326530612,0.0
2010s In A Public Place,0.006666666666666667,0.035211267605633804,0.012345679012345678,0.08450704225352113,0.0975609756097561,0.018115942028985508,0.016853932584269662,0.014084507042253521,0.061224489795918366,0.023809523809523808
2010s In The Military,0.0,0.007042253521126761,0.0,0.0,0.0,0.010869565217391304,0.0056179775280898875,0.014084507042253521,0.0,0.0
2010s On Vacation,0.006666666666666667,0.014084507042253521,0.0,0.0,0.0,0.0036231884057971015,0.011235955056179775,0.028169014084507043,0.0,0.0
2010s Through A Singles Service (Non-Online),0.0,0.007042253521126761,0.0,0.014084507042253521,0.0,0.0,0.0,0.0,0.0,0.0
2010s On A Business Trip,0.0,0.0,0.012345679012345678,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010s Online,0.12666666666666668,0.31690140845070425,0.14814814814814814,0.352112676056338,0.36585365853658536,0.14492753623188406,0.25842696629213485,0.323943661971831,0.2857142857142857,0.30952380952380953
2010s As Work Neighbors,0.0,0.014084507042253521,0.0,0.014084507042253521,0.0,0.0036231884057971015,0.0056179775280898875,0.0,0.0,0.023809523809523808
